overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,text,label,review_char_count,review_word_count,text_for_vader,text_for_textblob,text_for_sentiwordnet,vader_score,vader_pred,textblob_score,textblob_pred,sentiwordnet_score,sentiwordnet_pred
5.0,True,"08 22, 2013",A34A1UP40713F8,B00009W3I4,{'Style:': ' Dryer Vent'},James. Backus,I like this as a vent as well as something that will keep house warmer in winter.  I sanded it and then painted it the same color as the house.  Looks great.,Great product,1377129600,,,Great product. I like this as a vent as well as something that will keep house warmer in winter.  I sanded it and then painted it the same color as the house.  Looks great.,Positive,157,32,Great product. I like this as a vent as well as something that will keep house warmer in winter.  I sanded it and then painted it the same color as the house.  Looks great.,great product i like this as a vent as well as something that will keep house warmer in winter i sanded it and then painted it the same color as the house looks great,great product. i like this as a vent as well as something that will keep house warmer in winter.  i sanded it and then painted it the same color as the house.  looks great.,0.9325,Positive,0.5333333333333333,Positive,1.27749155011655,Positive
5.0,True,"02 8, 2016",A1AHW6I678O6F2,B00009W3PA,{'Size:': ' 6-Foot'},kevin.,good item,Five Stars,1454889600,,,Five Stars. good item,Positive,9,2,Five Stars. good item,five stars good item,five stars. good item,0.4404,Positive,0.7,Positive,0.6287202380952381,Positive
5.0,True,"08 5, 2015",A8R48NKTGCJDQ,B00009W3PA,{'Size:': ' 6-Foot'},CDBrannom,Fit my new LG dryer perfectly.,Five Stars,1438732800,,,Five Stars. Fit my new LG dryer perfectly.,Positive,30,6,Five Stars. Fit my new LG dryer perfectly.,five stars fit my new lg dryer perfectly,five stars. fit my new lg dryer perfectly.,0.7717,Positive,0.5121212121212121,Positive,0.5939078282828283,Positive
5.0,True,"04 24, 2015",AR3OHHHW01A8E,B00009W3PA,{'Size:': ' 6-Foot'},Calvin E Reames,Good value for electric dryers,Perfect size,1429833600,,,Perfect size. Good value for electric dryers,Positive,30,5,Perfect size. Good value for electric dryers,perfect size good value for electric dryers,perfect size. good value for electric dryers,0.8402,Positive,0.85,Positive,1.2089285714285716,Positive
5.0,True,"03 21, 2015",A2CIEGHZ7L1WWR,B00009W3PA,{'Size:': ' 6-Foot'},albert j. kong,Price and delivery was excellent.,Five Stars,1426896000,,,Five Stars. Price and delivery was excellent.,Positive,33,5,Five Stars. Price and delivery was excellent.,five stars price and delivery was excellent,five stars. price and delivery was excellent.,0.5719,Positive,1.0,Positive,1.096668956043956,Positive
5.0,True,"12 26, 2013",A1RQQV9HYHDHDN,B00009W3PA,{'Size:': ' 6-Foot'},Adam Baer,I purchasaed a new dryer and did not want to reuse the cord from my old unit. This unit installed in a pretty straight forward manor. Quality was as expected. No Complaints,Easy install,1388016000,,,Easy install. I purchasaed a new dryer and did not want to reuse the cord from my old unit. This unit installed in a pretty straight forward manor. Quality was as expected. No Complaints,Positive,172,32,Easy install. I purchasaed a new dryer and did not want to reuse the cord from my old unit. This unit installed in a pretty straight forward manor. Quality was as expected. No Complaints,easy install i purchasaed a new dryer and did not want to reuse the cord from my old unit this unit installed in a pretty straight forward manor quality was as expected no complaints,easy install. i purchasaed a new dryer and did not want to reuse the cord from my old unit. this unit installed in a pretty straight forward manor. quality was as expected. no complaints,0.8416,Positive,0.16994949494949493,Positive,-0.6256701631701631,Negative
4.0,True,"08 2, 2016",A1OB2H416ARLFJ,B0009GVYNW,,Commando Big,Good value.,Good value for the price.,1470096000,,,Good value for the price.. Good value.,Positive,11,2,Good value for the price.. Good value.,good value for the price good value,good value for the price.. good value.,0.8625,Positive,0.7,Positive,1.523809523809524,Positive
2.0,False,"07 6, 2017",A3LGZ8M29PBNGG,B000N6302Q,{'Color:': ' Blue'},nerenttt,works great. we loved ours! till we didn't.  these do not last so buy the warranty as you WILL NEED IT.,"the five star posts are from new owners, the rest from disgruntle owners 6 months in with broken icemaker!",1499299200,,,"the five star posts are from new owners, the rest from disgruntle owners 6 months in with broken icemaker!. works great. we loved ours! till we didn't.  these do not last so buy the warranty as you WILL NEED IT.",Negative,103,21,"the five star posts are from new owners, the rest from disgruntle owners 6 months in with broken icemaker!. works great. we loved ours! till we didn't.  these do not last so buy the warranty as you WILL NEED IT.",the five star posts are from new owners the rest from disgruntle owners 6 months in with broken icemaker works great we loved ours till we didn t these do not last so buy the warranty as you will need it,"the five star posts are from new owners, the rest from disgruntle owners 6 months in with broken icemaker!. works great. we loved ours! till we didn't.  these do not last so buy the warranty as you will need it.",0.7568,Positive,0.24727272727272726,Positive,0.058435199060199006,Positive
2.0,False,"07 6, 2017",A3LGZ8M29PBNGG,B000N6302Q,{'Color:': ' Stainless Steel'},nerenttt,"Luved it for the few months it worked!  great little bullet shaped ice cubes. It was a gift for my sister who never opened the box.  The next summer during a heat wave I asked for my unused gift back, ha!, and was in heaven for a few months.  the next summer after a few weeks the unit gave out.called new air and it was over the one year mark so no warranty.  so my advice is do not buy without  extended warranty!",my advice is do not buy without  extended warranty!,1499299200,,,"my advice is do not buy without  extended warranty!. Luved it for the few months it worked!  great little bullet shaped ice cubes. It was a gift for my sister who never opened the box.  The next summer during a heat wave I asked for my unused gift back, ha!, and was in heaven for a few months.  the next summer after a few weeks the unit gave out.called new air and it was over the one year mark so no warranty.  so my advice is do not buy without  extended warranty!",Negative,415,83,"my advice is do not buy without  extended warranty!. Luved it for the few months it worked!  great little bullet shaped ice cubes. It was a gift for my sister who never opened the box.  The next summer during a heat wave I asked for my unused gift back, ha!, and was in heaven for a few months.  the next summer after a few weeks the unit gave out.called new air and it was over the one year mark so no warranty.  so my advice is do not buy without  extended warranty!",my advice is do not buy without extended warranty luved it for the few months it worked great little bullet shaped ice cubes it was a gift for my sister who never opened the box the next summer during a heat wave i asked for my unused gift back ha and was in heaven for a few months the next summer after a few weeks the unit gave out called new air and it was over the one year mark so no warranty so my advice is do not buy without extended warranty,"my advice is do not buy without  extended warranty!. luved it for the few months it worked!  great little bullet shaped ice cubes. it was a gift for my sister who never opened the box.  the next summer during a heat wave i asked for my unused gift back, ha!, and was in heaven for a few months.  the next summer after a few weeks the unit gave out.called new air and it was over the one year mark so no warranty.  so my advice is do not buy without  extended warranty!",0.91,Positive,0.016540404040404046,Neutral,-1.161745314870315,Negative
1.0,False,"11 14, 2014",A3SM7H70QI3TY8,B000N6302Q,,SRH,"Be careful, NewAir will not stand by their products. Our NewAir broke within the first 4 hours of use.  The manufacturer will NOT cover the item under warranty. Just in case you're actually thinking of buying a NewAir product... think twice...

From: NewAir Sales <sales@newair.com>
Date: Fri, Nov 14, 2014 at 11:03 AM
Subject: Re: Icemaker return
To: Susan Ferguson <xxxxx@gwmail.gwu.edu>

Hi Susan,

The manufacturer warranty is void if the unit is purchased by a private seller who does not have our consent to sell our products. This is the same reason why we ask for a copy of your receipt upon requesting warranty claims because if it not from a valid authorized dealer we will not proceed with warranty work. We also list our authorized dealers on our web site for customer use. We stand behind our products, however when an item is purchased from a private seller the purchaser runs the risk of the item being used, open box, refurbished, and or a scratch and dent. Our one year limited manufacturer's warranty is only valid on new items sold by our authorized online dealers. It is unfortunate to see that you are in this situation, however you will need to contact the seller of the item for a replacement or refund.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 7:59 PM, Susan Ferguson <xxxxx@gwmail.gwu.edu> wrote:
Hello Mireya-

I'm sorry but I thought the manufacturer warranty was for the manufacturer, NewAir.  Please explain why the warranty is not valid in this case.  I don't see anywhere in the warranty exclusions that the warranty is not valid if not purchased from an authorized dealer.  In addition, a consumer would never know who ""authorized dealers"" are because if a company is selling your product doesn't that implicitly make them authorized to do so?

I sincerely hope that NewAir will reconsider this position and stand by the integrity of their products.  This ice machine was literally used for four hours before failing and it is, quite frankly egregious that your company is negating a warranty that explicitly states it will repair or replace defective materials or workmanship for up to one year.

Please let me know how I can talk to a dispute department regarding this matter.  I look forward to your response and I will refrain from giving any reviews of your product until this matter is resolved.

Thank you,
Susan Ferguson

On Thu, Nov 13, 2014 at 3:10 PM, NewAir Sales <sales@newair.com> wrote:
Hi Susan,

Unfortunately, the ice maker was not purchased from an authorized dealer. You will need to contact the seller ""Mehadrin"" through Amazon for any existing issues on your unit.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 12:32 PM, Susan Ferguson <xxxxxxxxx@gwmail.gwu.edu> wrote:
Hello-  I received an AI-100S icemaker in March 2014.  I used it one time and within 4 hours the cooling unit had shut down.  My best estimate is that the pump was still working (the water was getting pumped through) but the cooling mechanism was not.  When I plugged the unit back in to try it a few hours later, the cooling mechanism never turned on.

Since this product is still under warranty, I am hoping to acquire a new unit since this particular one has essentially never been used and is obviously faulty in some capacity.

I have attached the receipt for your reference.  It was purchased as a gift through Amazon Marketplace.  Thanks so much and I look forward to your response.

Susan Ferguson",NewAir will not stand behind their products - company emails included,1415923200,,,"NewAir will not stand behind their products - company emails included. Be careful, NewAir will not stand by their products. Our NewAir broke within the first 4 hours of use.  The manufacturer will NOT cover the item under warranty. Just in case you're actually thinking of buying a NewAir product... think twice...

From: NewAir Sales <sales@newair.com>
Date: Fri, Nov 14, 2014 at 11:03 AM
Subject: Re: Icemaker return
To: Susan Ferguson <xxxxx@gwmail.gwu.edu>

Hi Susan,

The manufacturer warranty is void if the unit is purchased by a private seller who does not have our consent to sell our products. This is the same reason why we ask for a copy of your receipt upon requesting warranty claims because if it not from a valid authorized dealer we will not proceed with warranty work. We also list our authorized dealers on our web site for customer use. We stand behind our products, however when an item is purchased from a private seller the purchaser runs the risk of the item being used, open box, refurbished, and or a scratch and dent. Our one year limited manufacturer's warranty is only valid on new items sold by our authorized online dealers. It is unfortunate to see that you are in this situation, however you will need to contact the seller of the item for a replacement or refund.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 7:59 PM, Susan Ferguson <xxxxx@gwmail.gwu.edu> wrote:
Hello Mireya-

I'm sorry but I thought the manufacturer warranty was for the manufacturer, NewAir.  Please explain why the warranty is not valid in this case.  I don't see anywhere in the warranty exclusions that the warranty is not valid if not purchased from an authorized dealer.  In addition, a consumer would never know who ""authorized dealers"" are because if a company is selling your product doesn't that implicitly make them authorized to do so?

I sincerely hope that NewAir will reconsider this position and stand by the integrity of their products.  This ice machine was literally used for four hours before failing and it is, quite frankly egregious that your company is negating a warranty that explicitly states it will repair or replace defective materials or workmanship for up to one year.

Please let me know how I can talk to a dispute department regarding this matter.  I look forward to your response and I will refrain from giving any reviews of your product until this matter is resolved.

Thank you,
Susan Ferguson

On Thu, Nov 13, 2014 at 3:10 PM, NewAir Sales <sales@newair.com> wrote:
Hi Susan,

Unfortunately, the ice maker was not purchased from an authorized dealer. You will need to contact the seller ""Mehadrin"" through Amazon for any existing issues on your unit.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 12:32 PM, Susan Ferguson <xxxxxxxxx@gwmail.gwu.edu> wrote:
Hello-  I received an AI-100S icemaker in March 2014.  I used it one time and within 4 hours the cooling unit had shut down.  My best estimate is that the pump was still working (the water was getting pumped through) but the cooling mechanism was not.  When I plugged the unit back in to try it a few hours later, the cooling mechanism never turned on.

Since this product is still under warranty, I am hoping to acquire a new unit since this particular one has essentially never been used and is obviously faulty in some capacity.

I have attached the receipt for your reference.  It was purchased as a gift through Amazon Marketplace.  Thanks so much and I look forward to your response.

Susan Ferguson",Negative,3932,649,"NewAir will not stand behind their products - company emails included. Be careful, NewAir will not stand by their products. Our NewAir broke within the first 4 hours of use.  The manufacturer will NOT cover the item under warranty. Just in case you're actually thinking of buying a NewAir product... think twice...

From: NewAir Sales <sales@newair.com>
Date: Fri, Nov 14, 2014 at 11:03 AM
Subject: Re: Icemaker return
To: Susan Ferguson <xxxxx@gwmail.gwu.edu>

Hi Susan,

The manufacturer warranty is void if the unit is purchased by a private seller who does not have our consent to sell our products. This is the same reason why we ask for a copy of your receipt upon requesting warranty claims because if it not from a valid authorized dealer we will not proceed with warranty work. We also list our authorized dealers on our web site for customer use. We stand behind our products, however when an item is purchased from a private seller the purchaser runs the risk of the item being used, open box, refurbished, and or a scratch and dent. Our one year limited manufacturer's warranty is only valid on new items sold by our authorized online dealers. It is unfortunate to see that you are in this situation, however you will need to contact the seller of the item for a replacement or refund.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 7:59 PM, Susan Ferguson <xxxxx@gwmail.gwu.edu> wrote:
Hello Mireya-

I'm sorry but I thought the manufacturer warranty was for the manufacturer, NewAir.  Please explain why the warranty is not valid in this case.  I don't see anywhere in the warranty exclusions that the warranty is not valid if not purchased from an authorized dealer.  In addition, a consumer would never know who ""authorized dealers"" are because if a company is selling your product doesn't that implicitly make them authorized to do so?

I sincerely hope that NewAir will reconsider this position and stand by the integrity of their products.  This ice machine was literally used for four hours before failing and it is, quite frankly egregious that your company is negating a warranty that explicitly states it will repair or replace defective materials or workmanship for up to one year.

Please let me know how I can talk to a dispute department regarding this matter.  I look forward to your response and I will refrain from giving any reviews of your product until this matter is resolved.

Thank you,
Susan Ferguson

On Thu, Nov 13, 2014 at 3:10 PM, NewAir Sales <sales@newair.com> wrote:
Hi Susan,

Unfortunately, the ice maker was not purchased from an authorized dealer. You will need to contact the seller ""Mehadrin"" through Amazon for any existing issues on your unit.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 12:32 PM, Susan Ferguson <xxxxxxxxx@gwmail.gwu.edu> wrote:
Hello-  I received an AI-100S icemaker in March 2014.  I used it one time and within 4 hours the cooling unit had shut down.  My best estimate is that the pump was still working (the water was getting pumped through) but the cooling mechanism was not.  When I plugged the unit back in to try it a few hours later, the cooling mechanism never turned on.

Since this product is still under warranty, I am hoping to acquire a new unit since this particular one has essentially never been used and is obviously faulty in some capacity.

I have attached the receipt for your reference.  It was purchased as a gift through Amazon Marketplace.  Thanks so much and I look forward to your response.

Susan Ferguson",newair will not stand behind their products company emails included be careful newair will not stand by their products our newair broke within the first 4 hours of use the manufacturer will not cover the item under warranty just in case you re actually thinking of buying a newair product think twice from newair sales sales newair com date fri nov 14 2014 at 11 03 am subject re icemaker return to susan ferguson xxxxx gwmail gwu edu hi susan the manufacturer warranty is void if the unit is purchased by a private seller who does not have our consent to sell our products this is the same reason why we ask for a copy of your receipt upon requesting warranty claims because if it not from a valid authorized dealer we will not proceed with warranty work we also list our authorized dealers on our web site for customer use we stand behind our products however when an item is purchased from a private seller the purchaser runs the risk of the item being used open box refurbished and or a scratch and dent our one year limited manufacturer s warranty is only valid on new items sold by our authorized online dealers it is unfortunate to see that you are in this situation however you will need to contact the seller of the item for a replacement or refund have a great day mireya customer support newair 3419 east chapman ave 190 orange ca 92869 ph 855 963 9247 em sales newair com fb facebook com newairusa twitter newairusa pinterest pinterest com newairusa instagram newairusa web made by awesome on thu nov 13 2014 at 7 59 pm susan ferguson xxxxx gwmail gwu edu wrote hello mireya i m sorry but i thought the manufacturer warranty was for the manufacturer newair please explain why the warranty is not valid in this case i don t see anywhere in the warranty exclusions that the warranty is not valid if not purchased from an authorized dealer in addition a consumer would never know who authorized dealers are because if a company is selling your product doesn t that implicitly make them authorized to do so i sincerely hope that newair will reconsider this position and stand by the integrity of their products this ice machine was literally used for four hours before failing and it is quite frankly egregious that your company is negating a warranty that explicitly states it will repair or replace defective materials or workmanship for up to one year please let me know how i can talk to a dispute department regarding this matter i look forward to your response and i will refrain from giving any reviews of your product until this matter is resolved thank you susan ferguson on thu nov 13 2014 at 3 10 pm newair sales sales newair com wrote hi susan unfortunately the ice maker was not purchased from an authorized dealer you will need to contact the seller mehadrin through amazon for any existing issues on your unit have a great day mireya customer support newair 3419 east chapman ave 190 orange ca 92869 ph 855 963 9247 em sales newair com fb facebook com newairusa twitter newairusa pinterest pinterest com newairusa instagram newairusa web made by awesome on thu nov 13 2014 at 12 32 pm susan ferguson xxxxxxxxx gwmail gwu edu wrote hello i received an ai 100s icemaker in march 2014 i used it one time and within 4 hours the cooling unit had shut down my best estimate is that the pump was still working the water was getting pumped through but the cooling mechanism was not when i plugged the unit back in to try it a few hours later the cooling mechanism never turned on since this product is still under warranty i am hoping to acquire a new unit since this particular one has essentially never been used and is obviously faulty in some capacity i have attached the receipt for your reference it was purchased as a gift through amazon marketplace thanks so much and i look forward to your response susan ferguson,"newair will not stand behind their products - company emails included. be careful, newair will not stand by their products. our newair broke within the first 4 hours of use.  the manufacturer will not cover the item under warranty. just in case you're actually thinking of buying a newair product... think twice...

from: newair sales 
date: fri, nov 14, 2014 at 11:03 am
subject: re: icemaker return
to: susan ferguson 

hi susan,

the manufacturer warranty is void if the unit is purchased by a private seller who does not have our consent to sell our products. this is the same reason why we ask for a copy of your receipt upon requesting warranty claims because if it not from a valid authorized dealer we will not proceed with warranty work. we also list our authorized dealers on our web site for customer use. we stand behind our products, however when an item is purchased from a private seller the purchaser runs the risk of the item being used, open box, refurbished, and or a scratch and dent. our one year limited manufacturer's warranty is only valid on new items sold by our authorized online dealers. it is unfortunate to see that you are in this situation, however you will need to contact the seller of the item for a replacement or refund.

have a great day!

mireya
customer support
newair | 3419 east chapman ave. #190 | orange, ca 92869
ph: 855-963-9247 em: sales@newair.com
fb: facebook.com/newairusa twitter: @newairusa
pinterest: pinterest.com/newairusa instagram: newairusa
web: [...]
""made by awesome""

on thu, nov 13, 2014 at 7:59 pm, susan ferguson  wrote:
hello mireya-

i'm sorry but i thought the manufacturer warranty was for the manufacturer, newair.  please explain why the warranty is not valid in this case.  i don't see anywhere in the warranty exclusions that the warranty is not valid if not purchased from an authorized dealer.  in addition, a consumer would never know who ""authorized dealers"" are because if a company is selling your product doesn't that implicitly make them authorized to do so?

i sincerely hope that newair will reconsider this position and stand by the integrity of their products.  this ice machine was literally used for four hours before failing and it is, quite frankly egregious that your company is negating a warranty that explicitly states it will repair or replace defective materials or workmanship for up to one year.

please let me know how i can talk to a dispute department regarding this matter.  i look forward to your response and i will refrain from giving any reviews of your product until this matter is resolved.

thank you,
susan ferguson

on thu, nov 13, 2014 at 3:10 pm, newair sales  wrote:
hi susan,

unfortunately, the ice maker was not purchased from an authorized dealer. you will need to contact the seller ""mehadrin"" through amazon for any existing issues on your unit.

have a great day!

mireya
customer support
newair | 3419 east chapman ave. #190 | orange, ca 92869
ph: 855-963-9247 em: sales@newair.com
fb: facebook.com/newairusa twitter: @newairusa
pinterest: pinterest.com/newairusa instagram: newairusa
web: [...]
""made by awesome""

on thu, nov 13, 2014 at 12:32 pm, susan ferguson  wrote:
hello-  i received an ai-100s icemaker in march 2014.  i used it one time and within 4 hours the cooling unit had shut down.  my best estimate is that the pump was still working (the water was getting pumped through) but the cooling mechanism was not.  when i plugged the unit back in to try it a few hours later, the cooling mechanism never turned on.

since this product is still under warranty, i am hoping to acquire a new unit since this particular one has essentially never been used and is obviously faulty in some capacity.

i have attached the receipt for your reference.  it was purchased as a gift through amazon marketplace.  thanks so much and i look forward to your response.

susan ferguson",0.9935,Positive,0.0998669733044733,Neutral,-6.470744233715895,Negative
