reviewerID,asin,overall,reviewText,summary,sentiment,review_word_count,text_for_vader,text_for_textblob,vader_pred,vader_compound,textblob_pred,textblob_polarity
A11SCLK8GDDN3C,B000NCTOUM,5.0,"All was fine, product was as advertised.",Five Stars,Positive,7,"All was fine, product was as advertised.",all wa fine product wa a advertised,Positive,0.2023,Positive,0.4166666666666667
A3SM7H70QI3TY8,B000N6302Q,1.0,"Be careful, NewAir will not stand by their products. Our NewAir broke within the first 4 hours of use.  The manufacturer will NOT cover the item under warranty. Just in case you're actually thinking of buying a NewAir product... think twice...

From: NewAir Sales <sales@newair.com>
Date: Fri, Nov 14, 2014 at 11:03 AM
Subject: Re: Icemaker return
To: Susan Ferguson <xxxxx@gwmail.gwu.edu>

Hi Susan,

The manufacturer warranty is void if the unit is purchased by a private seller who does not have our consent to sell our products. This is the same reason why we ask for a copy of your receipt upon requesting warranty claims because if it not from a valid authorized dealer we will not proceed with warranty work. We also list our authorized dealers on our web site for customer use. We stand behind our products, however when an item is purchased from a private seller the purchaser runs the risk of the item being used, open box, refurbished, and or a scratch and dent. Our one year limited manufacturer's warranty is only valid on new items sold by our authorized online dealers. It is unfortunate to see that you are in this situation, however you will need to contact the seller of the item for a replacement or refund.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 7:59 PM, Susan Ferguson <xxxxx@gwmail.gwu.edu> wrote:
Hello Mireya-

I'm sorry but I thought the manufacturer warranty was for the manufacturer, NewAir.  Please explain why the warranty is not valid in this case.  I don't see anywhere in the warranty exclusions that the warranty is not valid if not purchased from an authorized dealer.  In addition, a consumer would never know who ""authorized dealers"" are because if a company is selling your product doesn't that implicitly make them authorized to do so?

I sincerely hope that NewAir will reconsider this position and stand by the integrity of their products.  This ice machine was literally used for four hours before failing and it is, quite frankly egregious that your company is negating a warranty that explicitly states it will repair or replace defective materials or workmanship for up to one year.

Please let me know how I can talk to a dispute department regarding this matter.  I look forward to your response and I will refrain from giving any reviews of your product until this matter is resolved.

Thank you,
Susan Ferguson

On Thu, Nov 13, 2014 at 3:10 PM, NewAir Sales <sales@newair.com> wrote:
Hi Susan,

Unfortunately, the ice maker was not purchased from an authorized dealer. You will need to contact the seller ""Mehadrin"" through Amazon for any existing issues on your unit.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 12:32 PM, Susan Ferguson <xxxxxxxxx@gwmail.gwu.edu> wrote:
Hello-  I received an AI-100S icemaker in March 2014.  I used it one time and within 4 hours the cooling unit had shut down.  My best estimate is that the pump was still working (the water was getting pumped through) but the cooling mechanism was not.  When I plugged the unit back in to try it a few hours later, the cooling mechanism never turned on.

Since this product is still under warranty, I am hoping to acquire a new unit since this particular one has essentially never been used and is obviously faulty in some capacity.

I have attached the receipt for your reference.  It was purchased as a gift through Amazon Marketplace.  Thanks so much and I look forward to your response.

Susan Ferguson",NewAir will not stand behind their products - company emails included,Negative,649,"Be careful, NewAir will not stand by their products. Our NewAir broke within the first 4 hours of use.  The manufacturer will NOT cover the item under warranty. Just in case you're actually thinking of buying a NewAir product... think twice...

From: NewAir Sales <sales@newair.com>
Date: Fri, Nov 14, 2014 at 11:03 AM
Subject: Re: Icemaker return
To: Susan Ferguson <xxxxx@gwmail.gwu.edu>

Hi Susan,

The manufacturer warranty is void if the unit is purchased by a private seller who does not have our consent to sell our products. This is the same reason why we ask for a copy of your receipt upon requesting warranty claims because if it not from a valid authorized dealer we will not proceed with warranty work. We also list our authorized dealers on our web site for customer use. We stand behind our products, however when an item is purchased from a private seller the purchaser runs the risk of the item being used, open box, refurbished, and or a scratch and dent. Our one year limited manufacturer's warranty is only valid on new items sold by our authorized online dealers. It is unfortunate to see that you are in this situation, however you will need to contact the seller of the item for a replacement or refund.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 7:59 PM, Susan Ferguson <xxxxx@gwmail.gwu.edu> wrote:
Hello Mireya-

I'm sorry but I thought the manufacturer warranty was for the manufacturer, NewAir.  Please explain why the warranty is not valid in this case.  I don't see anywhere in the warranty exclusions that the warranty is not valid if not purchased from an authorized dealer.  In addition, a consumer would never know who ""authorized dealers"" are because if a company is selling your product doesn't that implicitly make them authorized to do so?

I sincerely hope that NewAir will reconsider this position and stand by the integrity of their products.  This ice machine was literally used for four hours before failing and it is, quite frankly egregious that your company is negating a warranty that explicitly states it will repair or replace defective materials or workmanship for up to one year.

Please let me know how I can talk to a dispute department regarding this matter.  I look forward to your response and I will refrain from giving any reviews of your product until this matter is resolved.

Thank you,
Susan Ferguson

On Thu, Nov 13, 2014 at 3:10 PM, NewAir Sales <sales@newair.com> wrote:
Hi Susan,

Unfortunately, the ice maker was not purchased from an authorized dealer. You will need to contact the seller ""Mehadrin"" through Amazon for any existing issues on your unit.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 12:32 PM, Susan Ferguson <xxxxxxxxx@gwmail.gwu.edu> wrote:
Hello-  I received an AI-100S icemaker in March 2014.  I used it one time and within 4 hours the cooling unit had shut down.  My best estimate is that the pump was still working (the water was getting pumped through) but the cooling mechanism was not.  When I plugged the unit back in to try it a few hours later, the cooling mechanism never turned on.

Since this product is still under warranty, I am hoping to acquire a new unit since this particular one has essentially never been used and is obviously faulty in some capacity.

I have attached the receipt for your reference.  It was purchased as a gift through Amazon Marketplace.  Thanks so much and I look forward to your response.

Susan Ferguson",be careful newair will not stand by their product our newair broke within the first hour of use the manufacturer will not cover the item under warranty just in case youre actually thinking of buying newair product think twice from newair sale date fri nov at am subject re icemaker return to susan ferguson hi susan the manufacturer warranty is void if the unit is purchased by private seller who doe not have our consent to sell our product this is the same reason why we ask for copy of your receipt upon requesting warranty claim because if it not from valid authorized dealer we will not proceed with warranty work we also list our authorized dealer on our web site for customer use we stand behind our product however when an item is purchased from private seller the purchaser run the risk of the item being used open box refurbished and or scratch and dent our one year limited manufacturer warranty is only valid on new item sold by our authorized online dealer it is unfortunate to see that you are in this situation however you will need to contact the seller of the item for replacement or refund have great day mireya customer support newair east chapman ave orange ca ph em salesnewaircom fb facebookcomnewairusa twitter newairusa pinterest pinterestcomnewairusa instagram newairusa web made by awesome on thu nov at pm susan ferguson wrote hello mireya im sorry but thought the manufacturer warranty wa for the manufacturer newair please explain why the warranty is not valid in this case dont see anywhere in the warranty exclusion that the warranty is not valid if not purchased from an authorized dealer in addition consumer would never know who authorized dealer are because if company is selling your product doesnt that implicitly make them authorized to do so sincerely hope that newair will reconsider this position and stand by the integrity of their product this ice machine wa literally used for four hour before failing and it is quite frankly egregious that your company is negating warranty that explicitly state it will repair or replace defective material or workmanship for up to one year please let me know how can talk to dispute department regarding this matter look forward to your response and will refrain from giving any review of your product until this matter is resolved thank you susan ferguson on thu nov at pm newair sale wrote hi susan unfortunately the ice maker wa not purchased from an authorized dealer you will need to contact the seller mehadrin through amazon for any existing issue on your unit have great day mireya customer support newair east chapman ave orange ca ph em salesnewaircom fb facebookcomnewairusa twitter newairusa pinterest pinterestcomnewairusa instagram newairusa web made by awesome on thu nov at pm susan ferguson wrote hello received an ai icemaker in march used it one time and within hour the cooling unit had shut down my best estimate is that the pump wa still working the water wa getting pumped through but the cooling mechanism wa not when plugged the unit back in to try it few hour later the cooling mechanism never turned on since this product is still under warranty am hoping to acquire new unit since this particular one ha essentially never been used and is obviously faulty in some capacity have attached the receipt for your reference it wa purchased a gift through amazon marketplace thanks so much and look forward to your response susan ferguson,Positive,0.9935,Positive,0.11599171437881114
AJPRN1TD1A0SD,B0053F7TQA,2.0,cheap,Two Stars,Negative,1,cheap,cheap,Neutral,0.0,Positive,0.4
A3TMNU7VNK5JJE,B0006GVNOA,3.0,"At first this contraption was a little confusing. I read the directions about 3 times before I felt okay about going through with the project - was not fully confident as there were a lot of warnings about making sure the drill was going the right way/you turned it the right way so you wouldn't lose rods in the dryer vent. Scared me a little. However, the project turned out really well. We didn't lose any rods (thankfully) and we got out the birds nest that had taken residence in our dryer vent!!
The part that was for the lint catcher was convenient as well and is actually recommended to be used at least once a month in order to clean out the lint catcher. I do need to keep up with this but it isn't convenient to have to put together and tape the rods each time when you only really use it for a couple of minutes. However, if you have a handy space to keep it already together, I can see how this would be even better for keeping up with cleaning the lint out.",Does what it needs to,Neutral,188,"At first this contraption was a little confusing. I read the directions about 3 times before I felt okay about going through with the project - was not fully confident as there were a lot of warnings about making sure the drill was going the right way/you turned it the right way so you wouldn't lose rods in the dryer vent. Scared me a little. However, the project turned out really well. We didn't lose any rods (thankfully) and we got out the birds nest that had taken residence in our dryer vent!!
The part that was for the lint catcher was convenient as well and is actually recommended to be used at least once a month in order to clean out the lint catcher. I do need to keep up with this but it isn't convenient to have to put together and tape the rods each time when you only really use it for a couple of minutes. However, if you have a handy space to keep it already together, I can see how this would be even better for keeping up with cleaning the lint out.",at first this contraption wa little confusing read the direction about time before felt okay about going through with the project wa not fully confident a there were lot of warning about making sure the drill wa going the right wayyou turned it the right way so you wouldnt lose rod in the dryer vent scared me little however the project turned out really well we didnt lose any rod thankfully and we got out the bird nest that had taken residence in our dryer vent the part that wa for the lint catcher wa convenient a well and is actually recommended to be used at least once month in order to clean out the lint catcher do need to keep up with this but it isnt convenient to have to put together and tape the rod each time when you only really use it for couple of minute however if you have handy space to keep it already together can see how this would be even better for keeping up with cleaning the lint out,Positive,0.8606,Positive,0.18900560224089635
A3GP2HMB2AFOKF,B001DPFP88,5.0,Great product,Five Stars,Positive,2,Great product,great product,Positive,0.6249,Positive,0.8
A34A1UP40713F8,B000VL060M,5.0,I bought a new range hood and found I needed a filter as it did not come with it.  I looked at it at Home Depot for about 9 dollars more then using Amazon Prime and having it the door within 2 days. It fit perfectly our new hood.,I bought a new range hood and found I needed ...,Positive,49,I bought a new range hood and found I needed a filter as it did not come with it.  I looked at it at Home Depot for about 9 dollars more then using Amazon Prime and having it the door within 2 days. It fit perfectly our new hood.,bought new range hood and found needed filter a it did not come with it looked at it at home depot for about dollar more then using amazon prime and having it the door within day it fit perfectly our new hood,Positive,0.8255,Positive,0.43454545454545446
A1Y4UNHRP312HS,B00AHR3IG4,5.0,"This is the OEM filter. It removes contaminants and lead according to the literature, and it does improve the taste. I use the water for my coffee, tea, home made soda [Sodastream], and drinking water. Very satisfied with the taste. I also make a habit of replacing these whenever the ""replace light"" comes on.",Does its Job.,Positive,54,"This is the OEM filter. It removes contaminants and lead according to the literature, and it does improve the taste. I use the water for my coffee, tea, home made soda [Sodastream], and drinking water. Very satisfied with the taste. I also make a habit of replacing these whenever the ""replace light"" comes on.",this is the oem filter it remove contaminant and lead according to the literature and it doe improve the taste use the water for my coffee tea home made soda sodastream and drinking water very satisfied with the taste also make habit of replacing these whenever the replace light come on,Positive,0.7178,Positive,0.525
ALZOND1IEW8KS,B00JGTUQJ6,5.0,Works great,worked no great no problems,Positive,2,Works great,work great,Positive,0.6249,Positive,0.8
A13391AZAFJ67K,B00570RQ0A,5.0,good,Five Stars,Positive,1,good,good,Positive,0.4404,Positive,0.7
A2OP8DEIIUESP,B00JGTUQJ6,5.0,Just as good as the more expensive filters I used to buy. Taste and function is the same at a much lower price,Just like the more expensive filters,Positive,23,Just as good as the more expensive filters I used to buy. Taste and function is the same at a much lower price,just a good a the more expensive filter used to buy taste and function is the same at much lower price,Positive,0.1779,Positive,0.18
